Src/Trg,i1 Htr3a,E2/3,i2/3 Pvalb,i2/3 Sst,i2/3 Htr3a,E4,i4 Pvalb,i4 Sst,i4 Htr3a,E5,i5 Pvalb,i5 Sst,i5 Htr3a,E6,i6 Pvalb,i6 Sst,i6 Htr3a
i1 Htr3a,0.026,0.014,0.004,0.003,0.018,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000
E2/3,   0.000,0.013,0.016,0.022,0.017,0.000,0.008,0.004,0.002,0.017,0.008,0.007,0.000,0.000,0.000,0.000,0.000
i2/3Pva,0.001,0.016,0.028,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Sst,0.011,0.012,0.044,0.000,0.000,0.002,0.002,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i2/3Htr,0.000,0.000,0.000,0.025,0.001,0.002,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
E4,     0.000,0.031,0.008,0.008,0.010,0.012,0.020,0.022,0.023,0.016,0.004,0.005,0.002,0.010,0.000,0.000,0.000
i4Pvalb,0.000,0.000,0.000,0.000,0.001,0.022,0.021,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
i4Sst,  0.006,0.006,0.002,0.002,0.002,0.017,0.044,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000
i4Htr3a,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.025,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000
E5,     0.001,0.011,0.007,0.006,0.002,0.004,0.005,0.002,0.002,0.026,0.030,0.029,0.031,0.019,0.001,0.001,0.001
i5Pvalb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.034,0.002,0.002,0.000,0.000,0.000,0.000
i5Sst,  0.008,0.007,0.000,0.001,0.000,0.007,0.000,0.000,0.001,0.027,0.049,0.000,0.000,0.001,0.000,0.000,0.000
i5Htr3a,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.005,0.001,0.035,0.001,0.001,0.000,0.000,0.000
E6,     0.000,0.002,0.002,0.002,0.000,0.018,0.012,0.015,0.000,0.000,0.000,0.000,0.000,0.021,0.013,0.011,0.010
i6Pvalb,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.020,0.000,0.000
i6Sst,  0.003,0.002,0.000,0.000,0.000,0.003,0.002,0.002,0.000,0.001,0.004,0.001,0.001,0.015,0.042,0.000,0.000
i6Htr3a,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.020,0.001
